IME;SIFRA;VREDNOST
LVZN;1123;FISSORE
LVZN;1124;MORGAN
LVZN;1125;GM DAEWOO
LVZN;1126;ZHONGYU
LVZN;1127;BOMBARDIER
LVZN;1128;JONWAY
LVZN;1129;E-TON
LVZN;1130;SYM
LVZN;1131;AGADOS
LVZN;1132;AGROMEX
LVZN;1133;AGROSERVIS
LVZN;1134;AL-KOS
LVZN;1135;ANDRE JAMET
LVZN;1136;APK
LVZN;1137;ATLAS COPCO
LVZN;1138;ATZ
LVZN;1139;BESKYD SPORT
LVZN;1140;BF
LVZN;1141;AUWARTER
LVZN;1142;BRODERN
LVZN;1143;BRUNNER
LVZN;1144;EI
LVZN;1145;ELNAGH
LVZN;1146;ERICH SCHLOGL
LVZN;1147;EUGEN OTT
LVZN;1148;FAV
LVZN;1149;FICKERS
LVZN;1150;FRANCOLAM
LVZN;1151;HELMUT KNAUS
LVZN;1152;INGERSOLL-RAND
LVZN;1153;JO-DI
LVZN;1154;KH
LVZN;1155;LAK
LVZN;1156;LIV
LVZN;1157;LONG CHIH
LVZN;1158;MARCHETTI
LVZN;1159;MB
LVZN;1160;MEHANIKA ORA�JE
LVZN;1161;NESKE
LVZN;1162;NIEPER
LVZN;1163;NIPER
LVZN;1164;OBERRH. BEHAELTERBAU
LVZN;1165;OBNOVA
LVZN;1166;OTTO MUNZ
LVZN;1167;PAN-AGRA
LVZN;1168;PANONIJA
LVZN;1169;PFT
LVZN;1170;POLSPORT WYTWORNIA
LVZN;1171;REGGIANA
LVZN;1172;REUTLINGEN
LVZN;1173;RMK ZENICA
LVZN;1174;SCHNEIDER
LVZN;1175;SKIF-ML
LVZN;1176;SOLINGEN
LVZN;1177;SORELPOL
LVZN;1178;STEDELE
LVZN;1179;TRANTWEIN
LVZN;1180;UNAMETAL
LVZN;1181;UNI TRACK
LVZN;1182;UNSINN
LVZN;1183;VEB
LVZN;1184;VEB-STEMA
LVZN;1185;WEIDNER
LVZN;1186;WETSCHKA
LVZN;1187;ZSP
